,Distributor,MPAA_Rating,primaryTitle,Opening_Weekend,budget,,'G','GP','M','M/PG','NC-17','Not Yet Rated','PG','PG-13','R','Unknown','Unrated','X'
150,'Sony / Columbia','PG-13',28 Days,"'$10,310,672'",'$43 million',0,0,0,0,0,0,0,0,1,0,0,0,0
151,'Fox Searchlight','R',28 Days Later,"'$10,061,858'",'$8 million',0,0,0,0,0,0,0,0,0,1,0,0,0
152,'Unknown','R',28 Days Later (Secret Cinema),,'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
153,'Oscilloscope Pictures','Unrated',28 Hotel Rooms,"'$1,869'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
154,'Fox Atomic','R',28 Weeks Later,"'$9,807,292'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
155,'Fox','R',29th Street,"'$431,660'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
156,'Magnolia','PG-13',2:22,'$294','N/A',0,0,0,0,0,0,0,0,1,0,0,0,0
157,'Strand','Unrated',2by4,"'$8,163'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
158,'EXP Ent.','Unrated',The 2nd Animation Celebration,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
159,'Strand','Unrated',3 (2011),"'$9,821'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
160,'Participant Media','R',"3 1/2 Minutes, 10 Bullets","'$2,238'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
161,'Screen Media','R',3 Backyards,"'$11,332'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
162,'Relativity','PG-13',3 Days to Kill,"'$12,242,218'",'$28 million',0,0,0,0,0,0,0,0,1,0,0,0,0
163,'Kino Lorber','Unrated',3 Faces,"'$7,065'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
164,'Unknown','Unrated',3 Geezers!,"'$1,372'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
165,'Weinstein Company','PG-13',3 Generations,"'$105,215'",'N/A',0,0,0,0,0,0,0,0,1,0,0,0,0
166,'MGM','Unrated',3 Godfathers,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
167,'Cohen Media Group','PG-13',3 Hearts,"'$11,794'",'N/A',0,0,0,0,0,0,0,0,1,0,0,0,0
168,'Pantelion','PG-13',3 Idiotas,"'$609,249'",'N/A',0,0,0,0,0,0,0,0,1,0,0,0,0
169,'Reliance Big Pictures','PG',3 Idiots,"'$1,645,502'",'N/A',0,0,0,0,0,0,0,1,0,0,0,0,0
170,'Wolfe Releasing','Unrated',3 Needles,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
171,"'Monterey Media, Inc.'",'R',3 Nights in the Desert,'$234','N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
172,'Buena Vista','PG',3 Ninjas,"'$5,888,920'",'N/A',0,0,0,0,0,0,0,1,0,0,0,0,0
173,'TriStar','PG',3 Ninjas Kick Back,"'$3,556,310'",'N/A',0,0,0,0,0,0,0,1,0,0,0,0,0
174,'Sony / Columbia','PG-13',3 Ninjas Knuckle Up,"'$67,789'",'N/A',0,0,0,0,0,0,0,0,1,0,0,0,0
175,'Sony / Columbia','PG',3 Ninjas: High Noon at Mega Mountain,"'$150,127'",'N/A',0,0,0,0,0,0,0,1,0,0,0,0,0
176,'Icarus Films','Unrated',The 3 Rooms of Melancholia,"'$5,025'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
177,'MGM','R',3 Strikes,"'$3,684,704'",'$3.4 million',0,0,0,0,0,0,0,0,0,1,0,0,0
178,'Richmond Media Ent.','Unrated',3 Weeks in Yerevan,"'$29,245'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
179,'Variance Films','Not Yet Rated',"3,2,1... Frankie Go Boom",,'N/A',0,0,0,0,0,0,1,0,0,0,0,0,0
180,'Sony Classics','R',3-Iron,"'$20,084'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
181,'Roadside Attractions','R',30 Beats,"'$8,624'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
182,'Sony / Columbia','R',30 Days of Night,"'$15,951,902'",'$30 million',0,0,0,0,0,0,0,0,0,1,0,0,0
183,'Sony / Columbia','R',30 Minutes or Less,"'$13,330,118'",'$28 million',0,0,0,0,0,0,0,0,0,1,0,0,0
184,'Indican','Unrated',30 Years of Garbage: The Garbage Pail Kids Story,"'$5,030'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
185,'Innovation Film Group','R',30 Years to Life,"'$3,376'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
186,'Unknown','Unrated',30-Love,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
187,'Warner Bros.','R',300,"'$70,885,301'",'$65 million',0,0,0,0,0,0,0,0,0,1,0,0,0
188,'Fox','Unrated',The 300 Spartans,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
189,'Warner Bros.','R',3000 Miles to Graceland,"'$7,160,521'",'$62 million',0,0,0,0,0,0,0,0,0,1,0,0,0
190,'Warner Bros.','R',300: Rise of An Empire,"'$45,038,460'",'$110 million',0,0,0,0,0,0,0,0,0,1,0,0,0
191,'El Tigre','Unrated',306 Hollywood,"'$8,150'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
192,'Saban Films','R',31,,'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
193,'Illumine Films','Unrated',3100: Run and Become,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
194,'Trafalgar Releasing','Unrated',311 Enlarged to Show Detail 3,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
195,'Warner Bros.','PG-13',The 33,"'$5,787,266'",'N/A',0,0,0,0,0,0,0,0,1,0,0,0,0
196,'Gathr Films','Unrated',33 & Beyond,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
197,'Image Entertainment','R',35 and Ticking,"'$29,808'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
198,'Cinema Guild','Unrated',35 Shots of Rum,"'$9,576'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
199,'Samuel Goldwyn','Unrated',35 Up,"'$13,690'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
200,'Fathom','Unrated',350,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
201,'MGM','Unrated',36 Hours,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
202,'Active Fox Productions','R',36 Saints,"'$7,373'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
203,'Magnolia','R',360,"'$12,186'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
204,'Balcony Releasing','Unrated',39 Pounds of Love,"'$4,217'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
205,'Gaumont British Picture Corporation','Unrated',The 39 Steps,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
206,'Columbia','Unrated',3:10 to Yuma (1957),,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
207,'Lionsgate','R',3:10 to Yuma (2007),"'$14,035,033'",'$55 million',0,0,0,0,0,0,0,0,0,1,0,0,0
208,'EXP Ent.','Unrated',The 3rd Animation Celebration,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
209,'Leisure Time','Unrated',4,"'$5,815'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
210,'Cinema Guild','Unrated',4 Days in France,"'$3,728'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
211,'Green Valley','Unrated',4 Little Girls,"'$13,528'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
212,'IFC','Unrated',"4 Months, 3 Weeks, 2 Days","'$51,712'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
213,'Miramax','R',40 Days and 40 Nights,"'$12,229,529'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
214,'Paladin','Unrated',40 Years in the Making: The Magic Music Movie,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
215,'Universal','R',The 40-Year-Old Virgin,"'$21,422,815'",'$26 million',0,0,0,0,0,0,0,0,0,1,0,0,0
216,'Zenith International Films','Unrated',The 400 Blows,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
