tconst,primaryTitle,G,GP,M,M/PG,NC-17,Not Yet Rated,PG,PG-13,R,Unknown,Unrated,X,averageRating,numVotes,originalTitle,runtimeMinutes,box office,released,Action,Crime,Drama,Adventure,Romance,Comedy,Sci-Fi,Animation,Family,Thriller,Horror,Mystery,Biography,History,Fantasy,Sport,Music,Documentary,War,Western,Musical,News,Opening_Weekend,budget
tt1646974,The Names of Love,0,0,0,0,0,0,0,0,1,0,0,0,7.2,7078.0,Le nom des gens,100,513836,24 Nov 2010,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30372,0
tt3184934,The New Girlfriend,0,0,0,0,0,0,0,0,1,0,0,0,6.6,6658.0,Une nouvelle amie,108,281394,18 Sep 2015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39035,0
tt5515022,The New Year's Eve of Old Lee,0,0,0,0,0,0,0,0,0,0,1,0,4.6,34.0,Guo nian hao,106,24898,01 Feb 2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15519,0
tt1458175,The Next Three Days,0,0,0,0,0,0,0,1,0,0,0,0,7.4,165949.0,The Next Three Days,133,21100000,19 Nov 2010,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6542779,30000000
tt3799694,The Nice Guys,0,0,0,0,0,0,0,0,1,0,0,0,7.4,235128.0,The Nice Guys,116,32261515,20 May 2016,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11203270,50000000
tt3530002,The Night Before,0,0,0,0,0,0,0,0,1,0,0,0,6.4,57792.0,The Night Before,101,31315980,20 Nov 2015,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9880536,25000000
tt5540188,The Nile Hilton Incident,0,0,0,0,0,0,0,0,0,0,1,0,6.7,5451.0,The Nile Hilton Incident,111,78460,05 Jul 2017,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8183,0
tt3486626,The Nut Job 2: Nutty by Nature,0,0,0,0,0,0,1,0,0,0,0,0,5.4,4648.0,The Nut Job 2: Nutty by Nature,91,28342490,11 Aug 2017,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8342311,40000000
tt1041804,The Nutcracker in 3D,0,0,0,0,0,0,1,0,0,0,0,0,4.3,3066.0,The Nutcracker in 3D,110,200000,08 Dec 2011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65944,90000000
tt1522857,The Oath,0,0,0,0,0,0,0,0,0,0,1,0,7.4,738.0,The Oath,90,42117,01 Jan 2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5760,0
tt2207006,The Obama Effect,0,0,0,0,0,0,0,1,0,0,0,0,2.0,375.0,The Obama Effect,85,110251,13 Jul 2012,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83896,0
tt1462769,The Odd Life of Timothy Green,0,0,0,0,0,0,1,0,0,0,0,0,6.6,42479.0,The Odd Life of Timothy Green,105,51853450,15 Aug 2012,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10822903,0
tt2756032,The One I Love,0,0,0,0,0,0,0,0,1,0,0,0,7.1,30612.0,The One I Love,91,511635,08 Aug 2014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48059,0
tt4126438,The Ones Below,0,0,0,0,0,0,0,0,1,0,0,0,6.1,7818.0,The Ones Below,87,12089,27 May 2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5191,0
