,tconst,primaryTitle,G,GP,M,M/PG,NC-17,Not Yet Rated,PG,PG-13,R,Unknown,Unrated,X,averageRating,numVotes,originalTitle,runtimeMinutes,box office,released,Action,Crime,Drama,Adventure,Romance,Comedy,Sci-Fi,Animation,Family,Thriller,Horror,Mystery,Biography,History,Fantasy,Sport,Music,Documentary,War,Western,Musical,News,Opening_Weekend,budget,valid,avg_pos,avg_neg,no_pos_comms,no_neg_comms
53,tt2044729,A Glimpse Inside the Mind of Charles Swan III,0,0,0,0,0,0,0,0,1,0,0,0,4.8,4615.0,A Glimpse Inside the Mind of Charles Swan III,86,33786,14 Mar 2013,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000,0,True,0.5176141791044784,-0.4382506329113929,670,395
54,tt2090447,A Green Story,0,0,0,0,0,0,0,0,0,0,1,0,5.6,190.0,A Green Story,90,12519,18 Jul 2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6768,0,True,0.5645350599781952,-0.5086313333333333,9170,4500
55,tt2828996,A Haunted House 2,0,0,0,0,0,0,0,0,1,0,0,0,4.7,17841.0,A Haunted House 2,86,13710572,18 Apr 2014,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8843875,4000000,True,0.5270346793349147,-0.49740154494382105,3789,2136
56,tt1276419,A Royal Affair,0,0,0,0,0,0,0,0,1,0,0,0,7.6,40575.0,En kongelig affære,137,1545726,29 Mar 2012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38212,0,True,0.5824590361445786,-0.46234999999999987,415,140
57,tt1837562,A Royal Night Out,0,0,0,0,0,0,0,1,0,0,0,0,6.5,8010.0,A Royal Night Out,97,1626909,04 Dec 2015,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100847,0,True,0.574968768115933,-0.46720533980582724,6900,2060
58,tt1639901,A Screaming Man,0,0,0,0,0,0,0,0,0,0,1,0,6.7,1349.0,Un homme qui crie,92,9862,13 Apr 2011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2421,0,True,0.559519758064515,-0.4977596899224826,3720,1935
59,tt1832382,A Separation,0,0,0,0,0,0,0,1,0,0,0,0,8.3,192595.0,Jodaeiye Nader az Simin,123,6700000,16 Mar 2011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59481,0,True,0.6300118243243255,-0.5027328947368418,1480,380
60,tt0763831,A Thousand Words,0,0,0,0,0,0,0,1,0,0,0,0,5.9,35965.0,A Thousand Words,91,18429081,09 Mar 2012,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6176280,40000000,True,0.5835240282685518,-0.507753714285714,2830,875
61,tt1268799,A Very Harold & Kumar 3D Christmas,0,0,0,0,0,0,0,0,1,0,0,0,6.3,61768.0,A Very Harold & Kumar 3D Christmas,90,34400000,04 Nov 2011,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12954142,19000000,True,0.5325251603706255,-0.5094539029535846,7015,4740
62,tt2910520,A Wedding Invitation,0,0,0,0,0,0,0,0,0,0,1,0,6.1,397.0,Fen shou he yue,101,11041,12 Apr 2013,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3183,0,True,0.5108666666666667,-0.365225,6,4
